801|MANIRAHO Theogene|Male|Volunteering & Civic Education|RAMBURA|KABIZI|RUMANGA|0788648316|1198580081297073
802|HABYARIMANA Jean Claude|Male|Sports & Leisure|RAMBURA|KABIZI|NYAGAHENGERI|0788220022|1199180063266014
803|DUSHIMIYIMANA Marie Rose|Female|Youth Empowerment & Entrepreneurship Skills|RAMBURA|KABIZI|KABIZI|0785196303|1199180063389025
804|UWIMANA Donatha|Female|SRH|RAMBURA|KABIZI|RUMANGA|0788487920|1199580047352014
805|NIYONSENGA Eric|Male|VCT|RAMBURA|KABIZI|NYAGAHENGERI|0786021669|1199980005086026
806|MUKAMANA Claudine|Female|Library|RAMBURA|KABIZI|KABIZI|0780336214|1199380088265005
807|HAKIZIMANA Innocent|Male|Job Desk|RAMBURA|KABIZI|RUMANGA|0783389599|1199580155099039
808|UWASE Beatrice|Female|Outreach Communication|RAMBURA|KABIZI|NYAGAHENGERI|0783038676|1199870108927010
809|MANIRAKIZA Celestin|Male|ICT|RAMBURA|KABIZI|KABIZI|0784910246|1199480088523091
810|MUKESHIMANA Donatha|Female|Sports & Leisure|RAMBURA|KABIZI|RUMANGA|0781711204|1200070176840003
811|NIYONSABA Theoneste|Male|Volunteering & Civic Education|RAMBURA|KABIZI|NYAGAHENGERI|0787595305|1199580156942065
812|UWINEZA Joselyne|Female|Youth Empowerment & Entrepreneurship Skills|RAMBURA|KABIZI|KABIZI|0784013449|1200270146039014
813|HAKIZIMANA Jean Damascene|Male|SRH|RAMBURA|KABIZI|RUMANGA|0785848972|1200070092305018
814|UWAMAHORO Chantal|Female|VCT|RAMBURA|KABIZI|NYAGAHENGERI|0783852084|1200070178386043
815|MUKAMANA Marie Rose|Female|Library|RAMBURA|KABIZI|KABIZI|0781987515|1200270148826034
816|UWIMANA Theogene|Male|Sports & Leisure|RAMBURA|KABIZI|RUMANGA|0784652230|1199470088907085
817|MANIRIHO Jean Claude|Male|Job Desk|RAMBURA|KABIZI|NYAGAHENGERI|0781488102|1200170080869909
818|UWASE Devotha|Female|Outreach Communication|RAMBURA|KABIZI|KABIZI|0789714371|1200170148826034
819|MUKAMANA Claudine|Female|ICT|RAMBURA|KABIZI|RUMANGA|0783264601|1200080006715033
820|HAKIZIMANA Damascene|Male|Volunteering & Civic Education|RAMBURA|KABIZI|NYAGAHENGERI|0780287702|1200080184496002
821|NIYONSENGA Solange|Female|Youth Empowerment & Entrepreneurship Skills|RAMBURA|KABIZI|KABIZI|0788924297|1200180080191033
822|UWAMAHORO Eric|Male|SRH|RAMBURA|KABIZI|RUMANGA|0787133063|1199670051069018
823|MUKESHIMANA Claudine|Female|VCT|RAMBURA|KABIZI|NYAGAHENGERI|0781436982|1200170129073009
824|UWIMANA Placide|Male|Library|RAMBURA|KABIZI|KABIZI|0786681619|1200270013003065
825|MANIRAKIZA Theogene|Male|Sports & Leisure|RAMBURA|KABIZI|RUMANGA|0780806243|1199770053921046
826|MUKAMANA Beatrice|Female|Job Desk|RAMBURA|KABIZI|NYAGAHENGERI|0798488216|1200270250301036
827|UWAMAHORO Marie Rose|Female|Outreach Communication|RAMBURA|KABIZI|KABIZI|0782085010|1200170148826034
828|NIYONSENGA Eric|Male|ICT|RAMBURA|KABIZI|RUMANGA|0794788997|1199570152685067
829|UWINEZA Solange|Female|Volunteering & Civic Education|RAMBURA|KABIZI|NYAGAHENGERI|0780699008|1199170105834053
830|HAKIZIMANA Celestin|Male|Youth Empowerment & Entrepreneurship Skills|RAMBURA|KABIZI|KABIZI|0783799403|1200080006077012
831|UWASE Chantal|Female|SRH|RAMBURA|KABIZI|RUMANGA|0798488216|1200270250301036
832|MANIRIHO Theoneste|Male|VCT|RAMBURA|KABIZI|NYAGAHENGERI|0789366179|1199680135717091
833|UWAMAHORO Donatha|Female|Library|RAMBURA|KABIZI|KABIZI|0783643912|1199370091332091
834|NIYONSABA Jean Claude|Male|Sports & Leisure|RAMBURA|KABIZI|RUMANGA|0780806243|1199770053921046
835|MUKESHIMANA Christine|Female|Job Desk|RAMBURA|KABIZI|NYAGAHENGERI|0788980188|1200280196975040
836|UWIMANA Claudine|Female|Outreach Communication|RAMBURA|KABIZI|KABIZI|0782548818|1200280132428010
837|NZABONIMPA Jean Pierre|Male|ICT|RAMBURA|KABIZI|RUMANGA|0784941933|1199880003051010
838|UWINEZA Devotha|Female|Volunteering & Civic Education|RAMBURA|KABIZI|NYAGAHENGERI|0783788539|1199380091342073
839|MUKAMANA Joselyne|Female|Youth Empowerment & Entrepreneurship Skills|RAMBURA|KABIZI|KABIZI|0781708849|1200180079948038
840|HAKIZIMANA Innocent|Male|SRH|RAMBURA|KABIZI|RUMANGA|0786524318|1199380088915049
841|UWASE Beatrice|Female|VCT|RAMBURA|KABIZI|NYAGAHENGERI|0780051830|1199680007652757
842|MANIRAKIZA Celestin|Male|Library|RAMBURA|KABIZI|KABIZI|0786039642|1200370132174093
843|MUKESHIMANA Donatha|Female|Sports & Leisure|RAMBURA|KABIZI|RUMANGA|0787421347|1200470031332001
844|NIYONSABA Theoneste|Male|Job Desk|RAMBURA|KABIZI|NYAGAHENGERI|0784955784|1199980039818020
845|UWINEZA Joselyne|Female|Outreach Communication|RAMBURA|KABIZI|KABIZI|0781708849|1200180079948038
846|HAKIZIMANA Jean Damascene|Male|ICT|RAMBURA|KABIZI|RUMANGA|0784161804|1199570154865022
847|UWAMAHORO Chantal|Female|Volunteering & Civic Education|RAMBURA|KABIZI|NYAGAHENGERI|0780517721|1200070093863071
848|MUKAMANA Marie Rose|Female|Youth Empowerment & Entrepreneurship Skills|RAMBURA|KABIZI|KABIZI|0780447385|1200080077180026
849|UWIMANA Theogene|Male|SRH|RAMBURA|KABIZI|RUMANGA|0787057008|1199870133464010
850|MANIRIHO Jean Claude|Male|VCT|RAMBURA|KABIZI|NYAGAHENGERI|0798629910|1200270080183091
